Manufacturer,Model Year,Regulatory Class,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Horsepower (HP),Footprint (sq. ft.),Outlier
BMW,1975,All,14.69368,13.38272,16.69220,604.81785,664.06536,532.40422,3213.783,138.2065,-,True
BMW,1976,All,15.64719,14.47793,17.36084,567.96151,613.83079,511.89906,3178.449,133.2854,-,True
BMW,1977,All,16.88407,15.49662,18.95869,526.35416,573.47998,468.75593,3055.938,128.7927,-,True
BMW,1978,All,16.36842,14.69587,19.01319,542.93584,604.72768,467.41248,3064.910,128.0398,-,True
BMW,1979,All,16.65964,15.00480,19.25514,533.445,592.27700,461.53921,3150.911,132.3903,-,True
Ford,1975,All,11.49702,10.50792,12.99166,772.9829,845.74275,684.05420,4212.492,140.0700,-,True
Ford,1976,All,13.35717,12.46865,14.63151,665.33575,712.74765,607.38787,4250.931,134.3488,-,True
Ford,1977,All,13.85710,12.85832,15.31065,641.33178,691.14777,580.44557,4311.940,147.2797,-,True
Ford,1978,All,14.94157,13.72382,16.75912,594.78343,647.56021,530.27847,3989.882,135.2534,-,True
Ford,1979,All,14.77059,13.69544,16.33822,601.66872,648.90200,543.93915,3811.835,130.5464,-,True
Ford,2004,All,17.01673,14.48054,19.67849,522.25077,613.72041,451.60982,4595.274,222.0374,-,True
GM,1975,All,12.65984,11.71405,14.04591,701.98366,758.66135,632.71094,4431.756,150.3929,-,True
GM,1976,All,13.66514,12.69990,15.06452,650.34118,699.76931,589.92901,4372.526,147.0813,-,True
GM,1977,All,14.61495,13.70837,15.90015,608.07608,648.29024,558.92544,4201.140,145.3400,-,True
GM,1978,All,15.18227,14.17492,16.62640,585.9708,627.60761,535.08136,3898.109,139.1122,-,True
GM,1979,All,15.28753,14.42390,16.49462,583.24729,618.17954,540.55232,3927.839,135.4843,-,True
Mazda,1975,All,14.57325,13.23800,16.62247,609.81588,671.32513,534.63790,2823.151,114.8201,-,True
Mercedes,1975,All,14.70973,13.53400,16.45708,623.74563,677.26478,558.33335,3933.828,123.7352,-,True
Mercedes,1976,All,15.85461,14.68386,17.56643,590.0952,635.89943,534.11226,3924.366,110.4482,-,True
Mercedes,1977,All,16.31644,15.44070,17.53174,573.24155,604.83885,534.62262,3930.585,116.5679,-,True
Mercedes,1978,All,15.89801,14.73540,17.59472,588.60043,633.70735,533.46974,3971.459,128.4329,-,True
Mercedes,1979,All,17.41057,16.36649,18.88286,548.03095,581.32086,507.34329,3949.518,118.6649,-,True
Stellantis,1975,All,13.01066,12.04521,14.42365,683.05537,737.80346,616.14103,4050.757,138.4583,-,True
Stellantis,1976,All,13.84731,12.72954,15.51211,641.78527,698.14012,572.90712,4023.390,135.1939,-,True
Stellantis,1977,All,13.78508,12.63878,15.50369,644.68272,703.15351,573.21843,4090.912,136.3138,-,True
Stellantis,1978,All,14.98159,13.82978,16.67943,593.23536,642.63983,532.85212,3763.451,128.2048,-,True
Stellantis,1979,All,16.01313,14.93946,17.55514,555.08898,594.96945,506.34617,3563.187,116.1779,-,True
